¿Qué es Apache Spark?,Un motor de computación unificado y un conjunto de librerías para el procesamiento de datos en paralelo en clústeres de computadoras.
¿Qué es un RDD (Resilient Distributed Dataset)?,"Una colección de elementos distribuida, tolerante a fallos, que puede ser operada en paralelo."
¿Cuáles son los dos tipos principales de operaciones en los RDDs?,Transformaciones y acciones.
"En Spark, una transformación que devuelve un nuevo RDD con un elemento por cada elemento de entrada es _____.",map()
¿Qué hace la transformación `filter()` en un RDD?,Devuelve un nuevo RDD que contiene solo los elementos del RDD original que cumplen una condición.
¿Cuál es la diferencia entre `map()` y `flatMap()`?,"`flatMap()` puede producir múltiples elementos de salida por cada elemento de entrada, mientras que `map()` produce solo uno."
¿Cuál es el propósito de una 'acción' en Spark?,Desencadenar el cálculo en un RDD y devolver un resultado al programa driver o escribirlo en un almacenamiento externo.
¿Qué hace el método `persist()` o `cache()` en un RDD o DataFrame?,Solicita a Spark que mantenga el conjunto de datos en memoria (o en disco) a través de las operaciones para un acceso más rápido.
Concepto: Pair RDD,"Definición: Un RDD que contiene tuplas clave-valor, lo que permite operaciones especiales como `reduceByKey()` y `join()`."
¿Qué hace la transformación `reduceByKey()` en un pair RDD?,Agrega los valores para cada clave usando una función asociativa y conmutativa.
¿Cuál es la diferencia de rendimiento clave entre `reduceByKey` y `groupByKey`?,"`reduceByKey` realiza una agregación parcial en cada nodo trabajador antes del 'shuffle', mientras que `groupByKey` transfiere todos los valores para una clave a un solo nodo."
¿Qué es un 'schema' en el contexto de un DataFrame de Spark?,Una estructura que define los nombres de las columnas y sus tipos de datos.
El principal punto de entrada para la funcionalidad de DataFrame y SQL en Spark 2.0 y superior es el objeto _____.,SparkSession
¿Cómo se crea una vista temporal a partir de un DataFrame para poder consultarla con SQL?,"Usando el método `createOrReplaceTempView(""nombre_vista"")`."
¿Cuáles son los dos tipos de transformaciones en Spark Streaming (DStreams)?,Transformaciones sin estado (stateless) y con estado (stateful).
Un DStream (Discretized Stream) es una secuencia de _____ que llegan a lo largo del tiempo.,RDDs
¿Cuál es el propósito del 'checkpointing' en Spark Streaming?,Guardar periódicamente el estado en un sistema de archivos fiable para permitir la recuperación tras un fallo del driver.
Concepto: Transformación sin estado (Stateless),"Definición: Una transformación en streaming donde el procesamiento de cada lote no depende de los datos de lotes anteriores (ej: `map()`, `filter()`)."
Concepto: Transformación con estado (Stateful),Definición: Una transformación en streaming que utiliza datos o estado intermedio de lotes anteriores para generar los resultados del lote actual (ej: `updateStateByKey()`).
¿Qué función se utiliza para realizar operaciones sobre un intervalo de tiempo deslizante en un DStream?,La transformación `window()`.
"En MLlib, ¿qué objeto representa un punto de datos para algoritmos de aprendizaje supervisado, conteniendo características y una etiqueta?",Un objeto `LabeledPoint`.
¿Cuál es la diferencia entre un vector denso y un vector disperso (sparse) en MLlib?,"Un vector denso almacena todos sus valores, mientras que un vector disperso almacena solo los valores no nulos y sus índices."
¿Para qué se utiliza una variable de 'broadcast' en Spark?,Para enviar eficientemente una variable grande de solo lectura a todos los nodos de trabajo para su uso en una o más operaciones de Spark.
¿Para qué se utiliza un 'acumulador' (accumulator) en Spark?,"Para agregar valores de los nodos de trabajo de vuelta al programa driver de forma eficiente y tolerante a fallos, como contadores o sumas."
¿En qué tipo de operación de Spark se deben usar los acumuladores para un conteo fiable y de valor absoluto?,"Deben usarse dentro de una acción, como `foreach()`, para garantizar que la actualización de cada tarea se aplique solo una vez."
¿Qué hace `coalesce()` y en qué se diferencia de `repartition()`?,"`coalesce()` reduce el número de particiones y evita un 'shuffle' completo, mientras que `repartition()` puede aumentar o disminuir las particiones e siempre incurre en un 'shuffle' completo."
