¿Qué servicio de gestión de datos de AWS se puede utilizar para publicar datos y hacerlos disponibles a través de una aplicación web personalizada?,Amazon DataZone.
Amazon EMR es la plataforma de big data en la nube para procesar grandes cantidades de datos utilizando herramientas de código abierto como _____.,"Apache Spark, Apache Hive y Presto."
¿Qué servicio de análisis de AWS está diseñado específicamente para la industria de servicios financieros (FSI)?,Amazon FinSpace.
Amazon Kinesis Data Streams es un servicio de streaming de datos en tiempo real que puede capturar continuamente _____ de datos por segundo desde cientos de miles de fuentes.,gigabytes.
¿Cuál es el servicio de inteligencia de negocios (BI) rápido y basado en la nube que facilita la entrega de información a todos en una organización?,Quick Suite (o QuickSight).
¿Qué servicio web de AWS ayuda a procesar y mover datos de manera fiable entre diferentes servicios de cómputo y almacenamiento de AWS a intervalos especificados?,AWS Data Pipeline.
"¿Cómo se llama el servicio que facilita la configuración de un repositorio de datos seguro, centralizado y curado en días?",AWS Lake Formation.
¿Cuál es el nivel de certificación de AWS ideal para quienes son nuevos en la computación en la nube y cubre conceptos esenciales?,Nivel Fundacional (Foundational).
La certificación AWS Certified Cloud Practitioner requiere tener al menos _____ de experiencia industrial básica en el dominio de AWS Cloud.,6 meses.
¿Qué nivel de certificación de AWS requiere más de 2 años de experiencia diseñando arquitecturas o gestionando entornos de AWS?,Nivel Profesional (Professional).
"Las certificaciones de _____ requieren un profundo conocimiento del dominio elegido, ya que el nivel del examen es bastante más alto.",Especialidad (Specialty).
"Según AWS, su infraestructura es hasta _____ veces más eficiente energéticamente que los centros de datos locales tradicionales.",4.1.
"¿Qué métrica se utiliza para medir la eficiencia de un centro de datos, donde una puntuación más baja indica mayor eficiencia?",Efectividad del Uso de Energía (Power Usage Effectiveness - PUE).
"El PUE global de los centros de datos de AWS en 2024 fue de 1.15, mejor que el promedio de la industria de la nube pública de _____.",1.25.
¿Qué métrica mide el volumen de agua extraída por kWh de carga de TI dentro de un centro de datos?,Efectividad del Uso del Agua (Water Usage Effectiveness - WUE).
"¿Qué tipo de instancias de Amazon EC2, basadas en procesadores de AWS, utilizan hasta un 60% menos de energía que instancias comparables para el mismo rendimiento?",Instancias basadas en AWS Graviton.
"En 2024, AWS comenzó a hacer la transición a _____ para alimentar los generadores de respaldo en sus centros de datos, reduciendo las emisiones de gases de efecto invernadero hasta en un 90%.",aceite vegetal hidrotratado (HVO) o diésel renovable.
"AWS se ha comprometido a ser _____ para 2030, devolviendo más agua a las comunidades de la que consume.",agua positivo (water positive).
¿Cuál es el servicio web de AWS que proporciona capacidad de cómputo segura y de tamaño variable (servidores virtuales) en la nube?,Amazon Elastic Compute Cloud (Amazon EC2).
AWS _____ es una oferta de infraestructura de AWS optimizada para aplicaciones de computación de borde móvil en la red 5G.,Wavelength.
"¿Qué oferta de nube integrada, desarrollada conjuntamente por AWS y VMware, permite a las organizaciones migrar y extender sus entornos locales basados en vSphere a la nube de AWS?",VMware Cloud on AWS.
"El modelo de precios de AWS donde los clientes solo pagan por los servicios que consumen, sin costos iniciales ni compromisos a largo plazo, se llama _____.",pago por uso (pay-as-you-go).
¿Qué herramienta oficial de AWS proporciona a los usuarios un pronóstico detallado de sus posibles costos en la nube?,AWS Pricing Calculator.
"En AWS, el pilar de optimización de costos que implica hacer coincidir los tipos y tamaños de las instancias con los requisitos reales de la carga de trabajo se conoce como _____.",ajuste de tamaño (Right-Sizing).
"Para cargas de trabajo predecibles, ¿qué opciones de precios de AWS ofrecen descuentos de hasta el 72% a cambio de un compromiso de uso?",Savings Plans o Instancias Reservadas.
¿Qué tipo de instancias de Amazon EC2 permiten ejecutar cargas de trabajo tolerantes a fallos con descuentos de hasta el 90% sobre el precio bajo demanda?,Instancias Spot de Amazon EC2.
"El servicio _____ proporciona recomendaciones para optimizar el uso de sus recursos de AWS, como la identificación de instancias EC2 inactivas.",AWS Cost Explorer o AWS Trusted Advisor.
¿Cuál es la cuota de mercado de Amazon Web Services (AWS) en la infraestructura de nube global a partir del segundo trimestre de 2025?,30%.
"En el mercado de infraestructura en la nube, Microsoft Azure ocupa el segundo lugar con una cuota de mercado del _____ en el segundo trimestre de 2025.",20%.
"¿Qué servicio de AWS para ETL (Extract, Transform, Load) sin servidor se utiliza para preparar y transformar datos para el análisis?",AWS Glue.
¿Cuál es el servicio de AWS para consultar datos de forma interactiva en S3 y otras fuentes utilizando SQL estándar?,Amazon Athena.
"El servicio de AWS para construir, entrenar y desplegar modelos de aprendizaje automático se llama _____.",Amazon SageMaker.
La integración de Amazon QuickSight con Amazon Q permite a los usuarios realizar consultas de datos en _____.,lenguaje natural.
"A finales de 2025, la nube de AWS abarca 120 Zonas de Disponibilidad dentro de _____ Regiones Geográficas.",38.
