"¿Qué determina la infraestructura crítica de una aplicación exitosa, decidiendo si puede escalar eficientemente o fallará bajo el peso de sus propios datos?",Una base de datos bien diseñada.
¿Qué práctica de diseño de bases de datos se enfoca en estructurar los datos para reducir la redundancia y mejorar la integridad?,La normalización de la base de datos.
"Para acelerar las operaciones de recuperación de datos en una base de datos, se debe implementar una estrategia de _____ adecuada.",indexación (indexing)
¿Qué práctica de diseño mejora la legibilidad y el mantenimiento del esquema de una base de datos mediante la estandarización de los nombres de los objetos?,El uso de convenciones de nomenclatura consistentes.
El uso eficiente de recursos y la garantía de la integridad de los datos se logran a través de la _____ de los tipos de datos.,optimización
¿Cómo se denomina el principio que mantiene la consistencia lógica entre tablas relacionadas en una base de datos?,Integridad referencial.
El seguimiento de la evolución del esquema de una base de datos a lo largo del tiempo se gestiona mediante _____ y _____.,documentación y versionado
La escritura de consultas eficientes desde el inicio es parte de la práctica de diseño de _____ y _____ de consultas.,rendimiento y diseño
"Según el Principio de Mínimo Privilegio en seguridad de bases de datos, ¿qué permisos se deben otorgar a los usuarios?",Únicamente los permisos mínimos necesarios para realizar sus funciones laborales.
"Para proteger los datos almacenados en la base de datos y los que se mueven a través de la red, se deben usar algoritmos de _____ fuertes.",cifrado (encriptación)
¿Qué técnica se debe usar en el código de la aplicación para prevenir ataques de inyección SQL?,Consultas parametrizadas o sentencias preparadas.
"Para una seguridad robusta, se deben implementar políticas de contraseñas fuertes y habilitar la _____ para todos los usuarios de la base de datos.",autenticación multifactor (MFA)
¿Qué herramienta es crucial para detectar comportamientos sospechosos e investigar incidentes de seguridad en una base de datos?,Los registros de auditoría (audit logs).
¿Qué es la gestión de bases de datos (database management)?,"El uso sistemático de tecnología y procesos para organizar, almacenar y recuperar datos de manera eficiente, garantizando su integridad, disponibilidad y seguridad."
Un software especializado para interactuar con los datos de una base de datos se conoce como _____.,Sistema de Gestión de Bases de Datos (DBMS)
"Las bases de datos relacionales, o RDBMS, almacenan datos en _____ y _____ que forman tablas.",filas y columnas
¿Qué se utiliza en las bases de datos relacionales para crear una relación entre dos o más tablas?,Una clave externa (foreign key).
¿Qué tipo de base de datos almacena datos en documentos similares a objetos JSON?,Bases de datos de documentos.
"En las bases de datos de _____, cada registro de datos está representado por una clave única y un valor asociado.",clave-valor
¿Qué tipo de base de datos NoSQL organiza los datos en columnas en lugar de filas y es útil para conjuntos de datos amplios y dispersos?,Almacenes de familias de columnas (o de columna ancha).
"Las bases de datos que almacenan información sobre personas, lugares y cosas en nodos, y las relaciones entre ellos en aristas, se llaman bases de datos de _____.",grafos
Concepto: Cumplimiento de ACID.,"Un conjunto de propiedades (Atomicidad, Consistencia, Aislamiento, Durabilidad) que garantizan la fiabilidad, consistencia e integridad de las transacciones de bases de datos."
"Debido a su esquema fijo, las bases de datos relacionales solo pueden almacenar datos _____.",estructurados
¿Qué es una clave primaria (primary key)?,Una columna o un conjunto de columnas que identifica de forma única cada fila en una tabla.
¿Qué es una clave externa (foreign key)?,"Una columna o un conjunto de columnas en una tabla que hace referencia a la clave primaria de otra tabla, estableciendo una relación."
"Para que una tabla esté en la Primera Forma Normal (1NF), cada celda debe contener un solo valor, lo que se conoce como _____.",atomicidad
La Segunda Forma Normal (2NF) requiere que una tabla esté en 1NF y que no tenga ninguna _____.,dependencia parcial
"Para que una tabla esté en la Tercera Forma Normal (3NF), debe estar en 2NF y no tener ninguna _____.",dependencia transitiva
¿Qué tipo de índice en una base de datos determina el orden físico en que los registros de la tabla se almacenan en el disco?,Índice agrupado (clustered index).
¿Cuántos índices agrupados (clustered indexes) puede tener una tabla?,"Solo uno, porque los datos solo pueden estar ordenados físicamente de una manera."
Un _____ es una estructura independiente de la tabla que contiene una copia de la columna indexada y un puntero hacia el registro real.,índice no agrupado (non-clustered index)
¿Cuántos índices no agrupados (non-clustered indexes) puede tener una tabla en SQL Server?,Hasta 999.
"En SQL Server, la creación de una restricción de _____ crea automáticamente un índice agrupado en esa columna.",clave primaria (primary key)
¿Qué es la persistencia políglota (Polyglot Persistence)?,Es un enfoque que utiliza el motor de base de datos más adecuado para cada microservicio o funcionalidad específica de una aplicación.
El Teorema CAP postula que en un sistema distribuido solo se pueden garantizar plenamente dos de tres propiedades. ¿Cuáles son estas tres propiedades?,"Consistencia (C), Disponibilidad (A) y Tolerancia a Particiones (P)."
"En el contexto del Teorema CAP, ¿qué significa 'Consistencia'?",Que todos los clientes ven el mismo dato al mismo tiempo después de una escritura.
"En el contexto del Teorema CAP, ¿qué significa 'Disponibilidad'?","Que el sistema siempre responde a las solicitudes, incluso si algún nodo falla."
"En el contexto del Teorema CAP, ¿qué significa 'Tolerancia a Particiones'?",Que el sistema sigue funcionando a pesar de fallos en la comunicación de red entre nodos.
"Las bases de datos NoSQL a menudo priorizan la disponibilidad y la tolerancia a particiones, lo que lleva a un modelo de consistencia _____.",eventual
¿Qué tipo de base de datos está optimizada para almacenar y consultar embeddings vectoriales utilizados en aplicaciones de LLM y redes neuronales?,Base de datos de vectores (vector database).
¿Qué arquitectura de IA se habilita mediante bases de datos de vectores para reducir las alucinaciones al recuperar contexto relevante de una base de conocimientos?,RAG (Retrieval-Augmented Generation).
"PostgreSQL, tradicionalmente relacional, ha implementado el tipo de datos _____ para permitir consultas documentales con un rendimiento competitivo.",JSONB
Un ejemplo de base de datos de documentos NoSQL es _____.,MongoDB
Un ejemplo de base de datos de clave-valor NoSQL es _____.,Redis
Un ejemplo de base de datos de columna ancha NoSQL es _____.,Apache Cassandra
Un ejemplo de base de datos de grafos NoSQL es _____.,Neo4j
"El sublenguaje de SQL que se ocupa de definir la estructura de los objetos de la base de datos (tablas, vistas) se llama _____.",Lenguaje de Definición de Datos (DDL).
¿Qué comando DDL se utiliza para crear una nueva tabla en una base de datos?,CREATE TABLE
¿Qué comando DDL se utiliza para modificar la estructura de una tabla existente?,ALTER TABLE
"¿Qué comando DDL se utiliza para eliminar completamente una tabla, incluyendo su estructura y datos?",DROP TABLE
"El sublenguaje de SQL que permite a los usuarios manipular los datos (insertar, modificar, eliminar) se llama _____.",Lenguaje de Manipulación de Datos (DML).
¿Qué comando DML se utiliza para agregar nuevos registros a una tabla?,INSERT INTO
¿Qué comando DML se utiliza para modificar los valores de registros existentes?,UPDATE
