¿Qué porcentaje del mercado global de infraestructura en la nube poseía Amazon Web Services (AWS) en el segundo trimestre de 2025?,AWS poseía el 30% del mercado global de infraestructura en la nube.
¿Cuál era la cuota de mercado de Microsoft Azure en el mercado de infraestructura en la nube en el segundo trimestre de 2025?,Microsoft Azure tenía una cuota de mercado del 20%.
¿Qué cuota de mercado tenía Google Cloud en la infraestructura global de la nube en el segundo trimestre de 2025?,Google Cloud tenía una cuota de mercado del 13%.
"En conjunto, ¿qué porcentaje del mercado de infraestructura en la nube controlaban los 'Tres Grandes' (AWS, Azure y Google Cloud) en el segundo trimestre de 2025?",Controlaban el 63% del mercado.
¿A cuánto ascendieron los ingresos del mercado global de infraestructura en la nube en el segundo trimestre de 2025?,Los ingresos alcanzaron los 99 mil millones de dólares.
¿Cuál fue el crecimiento interanual del mercado de infraestructura en la nube en el segundo trimestre de 2025?,El mercado creció un 25% interanual.
¿En qué porcentaje crecieron los servicios en la nube específicos de GenAI en el segundo trimestre de 2025?,Los servicios en la nube específicos de GenAI crecieron un 160%.
Término: Azure Kubernetes Service (AKS),Definición: Una plataforma de Kubernetes gestionada para desplegar y administrar aplicaciones en contenedores en Azure.
¿Qué servicio de Azure permite ejecutar contenedores de Linux o Windows sin necesidad de crear máquinas virtuales?,Azure Container Instances (ACI).
El servicio _____ es una solución de almacenamiento de objetos en Azure para almacenar grandes volúmenes de datos no estructurados como texto e imágenes.,Azure Blob Storage
¿Qué servicio de red de Azure es el componente fundamental para una red privada y permite la comunicación entre recursos de Azure?,Azure Virtual Network (VNet).
¿Cuál es el propósito de Azure Arc?,"Permite gestionar y gobernar servidores, clústeres de Kubernetes y aplicaciones desde una plataforma unificada en entornos multinube, locales y de borde."
Término: Azure DevOps,Definición: Un conjunto de servicios que agiliza el ciclo de vida del desarrollo de software mejorando la colaboración entre los equipos de desarrollo y operaciones.
¿Qué servicio dentro de Azure DevOps proporciona repositorios Git para el control de código fuente?,Azure Repos.
El servicio de Azure DevOps que soporta la integración y entrega continuas (CI/CD) se llama _____.,Azure Pipelines
"¿Qué certificación de Azure está diseñada para validar el conocimiento fundamental de los servicios en la nube como redes, almacenamiento y seguridad?",AZ-900: Microsoft Azure Fundamentals.
Término: Azure AI Foundry,"Definición: Una plataforma de IA de extremo a extremo en Azure que ofrece modelos, herramientas y capacidades de monitoreo para diseñar y escalar aplicaciones de IA."
"¿Qué nuevo servicio de base de datos NoSQL totalmente gestionado, anunciado en Ignite 2025 y ahora disponible de forma general, está diseñado para flexibilidad híbrida y multinube?",Azure DocumentDB.
"Microsoft SQL Server 2025, ahora disponible de forma general, permite la replicación de datos a Microsoft OneLake mediante la duplicación de bases de datos en _____.",Microsoft Fabric
"¿Cuál es el nombre del nuevo servicio de base de datos PostgreSQL en la nube de Azure, en vista previa privada, diseñado para aplicaciones de misión crítica?",Azure HorizonDB.
"¿Qué nueva capacidad de Azure App Service, actualmente en vista previa, permite mover aplicaciones web .NET a la nube con cambios mínimos de configuración?",Managed Instance en Azure App Service.
La última generación de _____ admite un rendimiento de almacenamiento remoto de hasta 20 Gbps y un ancho de banda de red de hasta 400 Gbps.,Azure Boost
¿Qué es Azure Cobalt 200?,"Es la CPU Cobalt de nueva generación de Azure, basada en Arm y diseñada para potenciar aplicaciones nativas en la nube."
"¿Qué nueva capacidad de Microsoft Entra, en vista previa, proporciona una solución de nivel empresarial para prevenir la proliferación de agentes y proteger sus identidades?",Microsoft Entra Agent ID.
Término: Azure Machine Learning studio,Definición: Un recurso de alto nivel que proporciona un lugar centralizado para que científicos de datos y desarrolladores trabajen con artefactos para construir y desplegar modelos de aprendizaje automático.
El servicio de Azure que se integra con Microsoft Copilot Studio para crear bots de IA de bajo código se llama _____.,Azure AI Bot Service
"Con más de 60 regiones en todo el mundo, Azure garantiza que los datos cumplan con los requisitos locales de cumplimiento y regulatorios, una característica conocida como _____.",residencia de datos (data residency)
¿Cómo se llama la capacidad de Azure que permite ejecutar algunos recursos en servidores propios mientras se utiliza la nube para otros?,Capacidad de nube híbrida.
La certificación AI-102 de Microsoft corresponde al rol de _____.,Azure AI Engineer Associate
¿Qué certificación está diseñada para el rol de Microsoft Azure Solutions Architect Expert?,AZ-305: Microsoft Azure Solutions Architect Expert.
El servicio _____ proporciona máquinas virtuales IaaS y artefactos preconfigurados en entornos de laboratorio para desarrollo y pruebas.,Azure DevTest Labs
¿Qué dos servicios principales ofrece Azure para automatizar cargas de trabajo y reducir errores operativos?,Azure Automation y Azure Logic Apps.
"¿Cómo se llama la capa universal de contexto de Microsoft que combina inteligencia de Work IQ, Fabric IQ y Foundry IQ para agentes de IA?","Se trata de una nueva capa de contexto universal, no se le da un nombre único específico."
Término: Fabric IQ,Definición: Una capacidad en vista previa que extiende la capa semántica unificada de Power BI a las operaciones de negocio para proporcionar una vista conectada en tiempo real de la empresa.
¿Qué es Foundry IQ?,"Es la nueva generación de generación aumentada por recuperación (RAG), que ofrece una forma más inteligente de conectar agentes con datos desde una única base de conocimiento."
"En el contexto de Microsoft Foundry, ¿qué son las herramientas de Protocolo de Contexto de Modelo (MCP)?",Son un catálogo unificado de herramientas que permiten a los desarrolladores enriquecer agentes con contexto de negocio en tiempo real y lógica personalizada.
"El servicio _____ ofrece agentes alojados, memoria incorporada y flujos de trabajo de múltiples agentes en una plataforma gestionada e interoperable.",Foundry Agent Service
¿Qué marco de código abierto de Microsoft unifica Semantic Kernel y AutoGen para un desarrollo de agentes unificado y resiliente?,Microsoft Agent Framework.
"Microsoft mantiene entornos de Azure distintos para necesidades regulatorias específicas, como Commercial Cloud, _____ y China Cloud.",US Government Cloud
¿Qué estándar de cumplimiento regional de Singapur figura en las ofertas de cumplimiento de Microsoft Azure?,Singapore MTCS Level 3.
¿Qué estándar de cumplimiento relacionado con la industria de la salud en EE. UU. soporta Azure?,HIPAA (Health Insurance Portability and Accountability Act).
El estándar de seguridad de la industria de tarjetas de pago que cumple Azure es _____.,PCI DSS (Payment Card Industry Data Security Standard)
¿Qué servicio de base de datos de Azure ofrece bases de datos relacionales y no relacionales?,"Azure ofrece servicios separados, como Azure SQL Database (relacional) y Azure Cosmos DB (no relacional/multimodelo)."
