¿Qué modelan naturalmente las estructuras de datos de tipo grafo?,"Relaciones, interacciones e interdependencias complejas entre objetos."
"En el modelo de programación Bulk Synchronous Parallel (BSP), la computación sobre vértices se representa como una secuencia de _____.",supersteps (superpasos)
"¿Qué sistema, introducido por Google, fue la primera implementación de BSP con una API nativa para la programación de algoritmos de grafos?",El sistema Pregel.
¿Cuál es el paradigma de computación que popularizó el sistema Pregel?,"Un paradigma de computación ""piensa como un vértice"" (think like a vertex)."
"En Pregel, ¿cómo se minimiza la sobrecarga de comunicación entre máquinas?","Preservando la localidad de los datos, asegurando que el cómputo se realiza sobre datos almacenados localmente."
"¿Qué abstracción introduce GraphX, que extiende el Resilient Distributed Dataset (RDD) de Spark?","El Resilient Distributed Graph (RDG), que asocia registros con vértices y aristas en un grafo."
"Según el estudio experimental, ¿qué sistema de procesamiento de grafos mostró la menor utilización de CPU en promedio?",GraphLab.
¿Qué es la partición de grafos balanceada y por qué es un problema computacionalmente difícil?,Es un problema NP-completo que busca dividir un grafo en componentes de tamaño similar minimizando las conexiones entre ellos.
El algoritmo distribuido JA-BE-JA utiliza búsqueda local y _____ para la partición de grafos.,simulated annealing (recocido simulado)
¿Cuáles son los dos tipos de particionamiento de grafos que aborda el algoritmo JA-BE-JA?,Particionamiento por corte de aristas (edge-cut) y particionamiento por corte de vértices (vertex-cut).
¿Qué es una tabla hash o tabla de troceado?,"Una estructura de datos que utiliza una función hash para mapear claves a índices en un arreglo, permitiendo búsquedas, inserciones y eliminaciones rápidas."
"En las tablas hash, ¿qué ocurre cuando dos claves diferentes generan el mismo índice?",Ocurre una colisión.
¿Cuál es la técnica de resolución de colisiones en tablas hash donde cada ranura del arreglo apunta a una lista de elementos que colisionaron en esa ranura?,Encadenamiento (chaining).
¿Para qué tipo de grafos se aplica un algoritmo de ordenamiento topológico?,Grafos dirigidos acíclicos (DAGs).
"En el contexto de grafos, ¿qué es la densidad?","La relación entre el número real de aristas y el número máximo posible de aristas, definida como $e / (v(v-1)/2)$."
¿Cuál es la complejidad temporal en el peor de los casos del algoritmo de ordenamiento Bubble Sort?,$O(n^2)$.
¿Qué es el costo amortizado por operación en una secuencia de $n$ operaciones?,El costo total de las operaciones dividido por $n$.
¿Para qué tipo de estructuras de datos es útil el análisis amortizado?,"Para estructuras que ocasionalmente incurren en un gran costo para reequilibrar o mejorar su estado interno, pero donde tales operaciones no ocurren con frecuencia."
"En una arquitectura NUMA, ¿qué sucede si un proceso accede a memoria que no es local a su procesador?",El acceso es más lento porque debe usar las interconexiones entre procesadores.
"En la jerarquía de cachés de una CPU moderna, ¿cuáles son los dos tipos de caché L1?",La caché L1d para datos y la caché L1i para instrucciones.
¿Cuáles son las tres partes que componen una dirección de memoria en el contexto de una caché?,"Tag (etiqueta), Set index (índice de conjunto) y Block offset (desplazamiento de bloque)."
"¿Qué principio establece que si un programa accede a una ubicación de memoria, es muy probable que vuelva a acceder a la misma ubicación en un futuro cercano?",El principio de localidad temporal.
¿Qué construcción de programación es un impulsor principal de la localidad temporal?,Los bucles (loops).
"¿Qué principio establece que si un programa accede a una ubicación de memoria, es muy probable que también acceda a ubicaciones cercanas?",El principio de localidad espacial.
¿Qué es un DAG en el contexto de Airflow?,Una especificación de las dependencias entre tareas que define el orden en que deben ejecutarse.
¿Cuál es la complejidad temporal promedio del algoritmo QuickSort?,$\Theta(n \log(n))$.
¿Cuál es la complejidad de espacio en el peor de los casos para el algoritmo Heapsort?,$O(1)$.
¿Qué es un filtro de Bloom?,Una estructura de datos probabilística eficiente en espacio que se utiliza para probar si un elemento es miembro de un conjunto.
¿Qué tipo de error puede producir un filtro de Bloom al consultar la pertenencia de un elemento?,"Puede producir falsos positivos (indicar que un elemento está en el conjunto cuando no lo está), pero nunca falsos negativos."
"En un filtro de Bloom, un array de $m$ bits se inicializa a 0 y se utilizan $k$ _____ diferentes.",funciones de hash
Mencione una aplicación de los filtros de Bloom en sistemas de bases de datos como Bigtable o Cassandra.,"Reducir las búsquedas en disco para filas o columnas que no existen, mejorando el rendimiento de las consultas."
¿Qué son los filtros de Bloom escalables (Scalable Bloom filters)?,"Una variante que puede adaptarse dinámicamente al número de elementos almacenados, asegurando una probabilidad máxima de falsos positivos."
¿Qué permiten los filtros de Bloom en capas (Layered Bloom filters)?,Rastrear cuántas veces se ha añadido un elemento al filtro de Bloom.
