"En el contexto del teorema CAP, ¿qué garantiza la 'Consistencia' (C)?","Garantiza que cada lectura recibe la escritura más reciente o un error, asegurando que todos los nodos vean los mismos datos al mismo tiempo."
"En el teorema CAP, ¿qué significa 'Disponibilidad' (A)?","Asegura que cada solicitud reciba una respuesta, sin garantizar que contenga la versión más reciente de la información."
"Según el teorema CAP, ¿qué es la 'Tolerancia a Particiones' (P)?",Es la capacidad del sistema para continuar operando a pesar de fallos de comunicación de red arbitrarios entre nodos.
"El teorema CAP establece que un sistema distribuido solo puede satisfacer simultáneamente dos de estas tres garantías: _____, Disponibilidad y Tolerancia a Particiones.",Consistencia
"¿Qué dos garantías debe elegir un sistema distribuido en presencia de una partición de red, según el teorema CAP?",Debe elegir entre una consistencia perfecta (CP) o una disponibilidad del 100% (AP).
"En el acrónimo ACID, ¿qué principio asegura que todos los componentes de una transacción se traten como una sola acción, completándose todos o ninguno?",Atomicidad (Atomicity).
"¿Qué propiedad ACID garantiza que una transacción debe seguir las reglas y restricciones definidas de la base de datos, como las restricciones y los disparadores?",Consistencia (Consistency).
La propiedad ACID de _____ asegura que la ejecución concurrente de transacciones resulta en un estado del sistema que se obtendría si las transacciones se ejecutaran en serie.,Aislamiento (Isolation).
"¿Qué propiedad ACID garantiza que una vez que una transacción se ha confirmado, persistirá y no se deshará para acomodar conflictos con otras operaciones?",Durabilidad (Durability).
¿Cuál es la diferencia fundamental entre la 'Consistencia' en ACID y la 'Consistencia' en el teorema CAP?,"La consistencia ACID se centra en las reglas y restricciones de la base de datos, mientras que la consistencia CAP asegura que todas las réplicas de datos tengan el mismo valor al mismo tiempo."
¿Qué es un 'Dirty Read' (lectura sucia) en el contexto de las transacciones de base de datos?,Ocurre cuando una transacción lee datos que han sido modificados por otra transacción concurrente que aún no ha sido confirmada (commit).
Describe la anomalía de concurrencia conocida como 'Non-repeatable Read' (lectura no repetible).,Ocurre cuando una transacción vuelve a leer una fila y encuentra que ha sido modificada por otra transacción concurrente que ya se ha confirmado.
¿Qué es una 'Phantom Read' (lectura fantasma)?,Ocurre cuando una transacción vuelve a ejecutar una consulta de rango y encuentra que han aparecido nuevas filas 'fantasma' insertadas por otra transacción confirmada.
