¿Qué unidad de información digital se compone de un grupo de 8 bits?,Un byte (o un carácter).
Definición de datos estructurados.,"Datos organizados que siguen un formato específico, generalmente almacenados en bases de datos relacionales."
"¿Qué tipo de datos incluye texto, imágenes, videos y publicaciones en redes sociales que carecen de un formato rígido?",Datos no estructurados.
¿Qué son los datos semiestructurados?,Datos que no cumplen con un esquema rígido pero contienen elementos organizativos como etiquetas o metadatos.
"¿Cuáles son las tres ""V"" fundamentales que caracterizan al Big Data?","Volumen, Velocidad y Variedad."
"En el contexto de Big Data, ¿a qué se refiere la ""Veracidad""?","A la calidad, confiabilidad y exactitud de los datos recopilados."
¿Qué término describe la inconsistencia o fluctuaciones en la estructura y formato de los grandes volúmenes de datos?,Variabilidad.
¿Cuál es la principal diferencia de almacenamiento entre un Data Warehouse y un Data Lake?,"El Data Warehouse almacena datos estructurados, mientras que el Data Lake admite datos estructurados, semiestructurados y no estructurados."
¿Qué ventaja ofrece un Data Lakehouse sobre un Data Lake tradicional respecto a la integridad de los datos?,"El cumplimiento de las propiedades ACID (Atomicidad, Consistencia, Aislamiento y Durabilidad)."
"¿Cómo se denomina la estructura jerárquica de almacenamiento que utiliza directorios, subdirectorios y protocolos como NFS o SMB?",File Storage (Almacenamiento de archivos).
¿En qué tipo de almacenamiento los datos se dividen en trozos identificados por un ID único y se gestionan en discos separados?,Block Storage (Almacenamiento por bloques).
"¿Qué método de almacenamiento es ideal para datos no estructurados al tratarlos como unidades con ID único, atributos y metadatos?",Object Storage (Almacenamiento de objetos).
¿Cuáles son los seis tipos de datos soportados por el formato JSON?,"String, Number, Boolean, Array, Object y Null."
¿Por qué el formato Parquet se considera un formato de almacenamiento columnar o híbrido?,"Porque organiza los datos por columnas para optimizar lecturas y agregaciones, dividiéndolos en grupos de filas (Row Groups)."
"¿Qué beneficio ofrece la compresión ""Snappy"" en los archivos Parquet?",Reduce los costes de almacenamiento y mejora la eficiencia de las operaciones de entrada/salida (I/O).
"En el diseño interno de Parquet, ¿qué es un ""Column Chunk""?",Un fragmento de los datos de una columna específica dentro de un grupo de filas (Row Group).
"¿Qué técnica de optimización en Spark permite reducir el número de archivos pequeños en Parquet sin realizar un ""full shuffle""?",Coalesce.
¿Qué función de codificación en Parquet almacena la longitud del prefijo de la entrada anterior más el sufijo actual?,Delta Strings (codificación incremental).
"En un archivo CSV, ¿qué propósito cumple la fila de encabezado (header row)?",Proporcionar etiquetas descriptivas para los datos contenidos en cada columna.
¿Cuál es el lenguaje nativo en el que está escrito Apache Spark?,Scala.
"Según el estudio comparativo, ¿qué lenguaje demostró mejor rendimiento al procesar archivos CSV pequeños ($5$ MB)?",Python (con $6.71$ segundos).
¿Qué lenguaje resultó ser más eficiente para operaciones complejas de ETL con joins de gran tamaño en Spark?,Scala (con $374.42$ segundos en la prueba de mayor carga).
¿Qué es Apache Iceberg?,Un formato de tabla analítica abierto que permite gestionar grandes volúmenes de datos con transacciones ACID y evolución de esquema.
"¿Qué permite la ""evolución de esquema"" en Apache Iceberg?",Modificar la estructura de las tablas sin necesidad de reescribir todos los datos existentes.
"En la arquitectura de Iceberg, ¿qué contiene el directorio de metadatos (metadata)?","Información sobre el esquema de la tabla, sus lotes (batches), historial de cambios y transacciones."
¿Para qué sirve el parámetro `overwrite-mode=dynamic` al escribir en Iceberg con Spark?,Para optimizar el proceso de actualización de datos minimizando el número de lotes que deben ser sobreescritos.
¿Qué es un Dataset en Apache Spark?,Una colección distribuida de datos que ofrece tipado fuerte y los beneficios del motor de ejecución optimizado de Spark SQL.
¿En qué lenguajes de programación está disponible la API de Dataset?,Scala y Java.
Definición de DataFrame en Spark.,"Un Dataset organizado en columnas con nombre, equivalente a una tabla en una base de datos relacional."
¿Cuál es la propiedad de configuración de Hadoop para establecer la clave de acceso secreta de Amazon S3 en Spark?,fs.s3a.secret.key
"¿Qué comando de `sbt` se utiliza para crear un ""fat jar"" del cliente jspark?",sbt assembly
¿Qué prefijo debe tener la URL JDBC para conectar jspark con Databricks/Spark?,jdbc:hive2://
"¿Qué comando ""mágico"" permite ejecutar sentencias SQL directamente en una celda de un notebook de PySpark?",%%sparksql
¿Cuál es la función del conector BigQuery para Spark?,Permitir que el código de Spark cargue datos desde tablas de BigQuery y escriba los resultados de vuelta.
"¿Qué es una ""Runtime Template"" (plantilla de sesión) en Spark Serverless de Google Cloud?",Un archivo de configuración que contiene los parámetros para ejecutar código Spark en una sesión interactiva.
"¿Para qué sirve el ""Persistent History Server"" (PHS) en el ecosistema Dataproc?",Para permitir el acceso a los registros (logs) de las sesiones de Spark durante y después de su ejecución.
