¿Qué comando se utiliza para solucionar el problema de arranque de Liberica NIK en macOS Catalina y versiones posteriores?,Se ejecuta `sudo xattr -r -d com.apple.quarantine path/to/graalvm/folder/`.
"Según la documentación de Bitnami, ¿cuál es el tiempo de respuesta objetivo para las preguntas en sus proyectos de GitHub en días laborables?",El equipo de soporte de Bitnami intenta responder cualquier pregunta recibida en un plazo de 24 horas en días laborables.
"En un Dockerfile, ¿qué instrucción se recomienda para las imágenes base para mantener un tamaño reducido, como en el caso de la imagen Alpine?","La instrucción `FROM`, utilizando imágenes oficiales actuales y pequeñas como Alpine, que tiene menos de 6 MB."
"Para excluir archivos no relevantes para la compilación de Docker sin reestructurar el repositorio de origen, se utiliza un archivo ____.",.dockerignore
"En Docker, ¿qué significa que un contenedor debe ser efímero?","Significa que el contenedor puede ser detenido, destruido, reconstruido y reemplazado con una configuración y preparación mínimas."
"Para asegurar que se utiliza la versión más reciente de una imagen base al construir una imagen de Docker, se puede usar el flag ____.",--pull
"En el contexto de Kafka en Kubernetes, ¿cuál es el factor de replicación estándar recomendado para la producción?",Un factor de replicación de 3 es el estándar para producción.
El parámetro `min.insync.replicas` en Kafka define el número mínimo de réplicas que deben confirmar una escritura para que se considere ____.,exitosa
¿Qué herramienta de línea de comandos se utiliza para crear clústeres en Amazon EKS según la guía de AWS?,La herramienta `eksctl`.
"En el Dockerfile de ejemplo de AWS para un microservicio Java, ¿qué imagen base de BellSoft se utiliza?",La imagen base utilizada es `bellsoft/liberica-openjdk-alpine-musl:17`.
¿Cuál es la mejor práctica para los registros de imágenes en un entorno de producción de Kubernetes para mejorar la seguridad y el control?,Utilizar un registro de imágenes privado en lugar de uno público.
"Para garantizar la integridad de las imágenes de contenedor en Kubernetes, ¿qué proceso se debe implementar?",Se debe implementar la firma y verificación de imágenes utilizando herramientas como Notary o Docker Content Trust (DCT).
"En la arquitectura de Kubernetes, ¿cuál es el componente responsable de asegurar que los contenedores se estén ejecutando en un Pod y de comunicarse con el API server?",El Kubelet.
"Kubernetes puede exponer un contenedor usando un nombre DNS o su propia dirección IP y, si el tráfico es alto, puede distribuir el tráfico de red. Esta característica se conoce como _____.",Balanceo de carga (Load Balancing)
¿Qué propiedad de configuración de Spark se utiliza para especificar la imagen de contenedor a usar para la aplicación Spark en Kubernetes?,La propiedad `spark.kubernetes.container.image`.
¿Qué comando de `kubectl` se utiliza para crear un nuevo namespace en Kubernetes?,`kubectl create namespace <nombre-del-namespace>`.
"¿Qué opción de la JVM permite especificar exactamente cuántos núcleos de CPU debe usar la JVM, independientemente de la detección de contenedores?",La opción `-XX:ActiveProcessorCount`.
"Para deshabilitar completamente el soporte de detección de contenedores en OpenJDK, se debe utilizar la opción de la JVM ____.",-XX:-UseContainerSupport
