¿Qué arquitectura utiliza Hadoop para el almacenamiento y la computación distribuida?,"Utiliza una arquitectura 'shared nothing' (nada compartido), donde cada nodo tiene su propia CPU, almacenamiento y memoria."
"En Hadoop, ¿qué componente se encarga del almacenamiento distribuido de datos?","El HDFS (Hadoop Distributed File System), que divide y almacena los datos en múltiples 'Data Nodes'."
El componente de Hadoop responsable de la negociación de recursos y la distribución de código a los nodos de datos es _____.,YARN (Yet Another Resource Negotiator).
"Según el teorema CAP, ¿qué dos propiedades garantiza un sistema de base de datos CP durante una partición de red?",Consistencia (Consistency) y Tolerancia a la Partición (Partition Tolerance).
"¿Qué dos propiedades garantiza un sistema de base de datos AP, como Apache Cassandra, según el teorema CAP?",Disponibilidad (Availability) y Tolerancia a la Partición (Partition Tolerance).
¿Cómo se clasifica MongoDB según el teorema CAP por defecto?,Se clasifica como un sistema CP (Consistencia y Tolerancia a la Partición).
"En Apache Cassandra, ¿qué fórmula se debe cumplir para lograr una consistencia fuerte en las operaciones?","La suma de los niveles de consistencia de lectura (R) y escritura (W) debe ser mayor que el factor de replicación (N), es decir, R + W > N."
Término: Consistencia eventual (Eventual Consistency),"Definición: Un modelo de consistencia en sistemas distribuidos que garantiza que, si no se realizan nuevas actualizaciones, todas las réplicas eventualmente convergerán al mismo valor."
"En el contexto de bases de datos NoSQL, ¿qué es un modelo de datos de 'documento'?","Un modelo donde los datos se almacenan como documentos estructurados, típicamente en formato JSON o BSON, como en MongoDB."
¿Qué modelo de datos utiliza Apache Cassandra y HBase?,"Utilizan un modelo de datos de 'columna ancha' (wide-column), donde las filas pueden tener diferentes números de columnas."
"La arquitectura de Apache Cassandra se describe como _____, donde no hay un nodo maestro y todos los nodos son iguales.",peer-to-peer (entre pares)
¿Qué arquitectura utiliza MongoDB para su replicación de datos?,"Utiliza un modelo primario/secundario (primary/secondary), donde un nodo primario maneja todas las operaciones de escritura."
"En MongoDB, el proceso de distribuir grandes conjuntos de datos en múltiples máquinas se conoce como _____.",Sharding (fragmentación).
"¿Cuál base de datos, Cassandra o HBase, generalmente ofrece un mejor rendimiento en operaciones de escritura y por qué?","Cassandra, porque puede escribir datos en el 'commit log' y en la 'memtable' simultáneamente, mientras que HBase requiere pasos adicionales a través de ZooKeeper."
¿Por qué HBase suele tener un mejor rendimiento de lectura que Cassandra?,"Porque HBase escribe todos los datos en un único servidor (primario por región) y utiliza el HDFS con filtros bloom y cachés de bloques, acelerando la recuperación."
Término: Procesamiento de flujos (Stream Processing),Definición: Un sistema de procesamiento de datos diseñado para manejar flujos continuos de datos en tiempo real o casi real.
¿Cuál es la principal diferencia entre el modelo de procesamiento de Apache Spark Streaming y Apache Flink?,"Spark Streaming utiliza micro-lotes (micro-batching), mientras que Flink procesa los eventos uno por uno (true event-at-a-time)."
"En el procesamiento de flujos, ¿qué significa 'stateful processing' (procesamiento con estado)?",Es la capacidad de un motor de streaming para recordar información (estado) a través de múltiples eventos para realizar operaciones como agregaciones o uniones.
