¿Qué tres garantías establece el teorema CAP para los almacenes de datos distribuidos?,"Consistencia (Consistency), Disponibilidad (Availability) y Tolerancia a particiones (Partition Tolerance)."
"Según el teorema CAP, un sistema distribuido puede garantizar como máximo _____ de las tres propiedades (Consistencia, Disponibilidad, Tolerancia a particiones) simultáneamente.",dos
¿Qué aspecto de los sistemas distribuidos aborda el teorema PACELC que el teorema CAP no considera?,El compromiso entre latencia y consistencia cuando no hay particiones de red (el caso 'Else').
"En el contexto de PACELC, si ocurre una partición (P), ¿entre qué dos propiedades debe elegir un sistema?",Debe elegir entre Disponibilidad (A) y Consistencia (C).
"En un sistema PA/EL según PACELC, como Dynamo o Cassandra, ¿qué se prioriza en ausencia de particiones?",Se prioriza la baja latencia (L) sobre la consistencia (C).
"Un sistema PC/EC según PACELC, como BigTable, siempre elegirá la _____ a costa de la disponibilidad y la latencia.",consistencia
¿Cuál es la principal diferencia de alcance entre el sharding y el particionamiento de bases de datos?,"El sharding opera a través de múltiples bases de datos o servidores, mientras que el particionamiento ocurre dentro de una única base de datos."
"El sharding es una forma de particionamiento _____, distribuido a través de múltiples máquinas.",horizontal
¿Qué estrategia de distribución de datos es ideal para aplicaciones a gran escala que requieren escalabilidad horizontal?,El sharding (fragmentación).
Concepto: Particionamiento vertical.,Definición: Método que divide una tabla en múltiples tablas que contienen menos columnas.
¿Cuál es el objetivo principal de Apache Kafka en una arquitectura de streaming?,Actuar como un transporte duradero y de alto rendimiento para flujos de eventos ordenados.
¿Cuál es la principal fortaleza de Apache Flink en comparación con Apache Kafka?,"Realizar cómputos con estado sobre datos en flujo, con baja latencia y semántica de procesamiento 'exactly-once'."
"La abstracción central en Apache Kafka es un(a) _____ particionado en disco, mientras que en Apache Flink es un grafo de operadores distribuido en memoria.",log de solo apéndice (append-only log)
"En Kafka, el orden de los mensajes solo se garantiza dentro de un(a) único/a _____.",partición
"Para lograr tolerancia a fallos en Apache Flink, el sistema utiliza _____ consistentes del estado del operador.",checkpoints (puntos de control) con snapshots
"En una arquitectura canónica de Flink y Kafka, ¿por qué es beneficioso que Kafka retenga los datos brutos?",Permite que el trabajo de Flink pueda reproducir el historial de datos cada vez que la lógica de procesamiento cambia.
Concepto: Tiempo de evento (Event Time) en procesamiento de flujos.,"Definición: Es la marca de tiempo en la que se generó un evento, asignada en el sistema de origen y contenida en la carga útil del evento."
Concepto: Tiempo de procesamiento (Processing Time) en procesamiento de flujos.,Definición: Es el tiempo del reloj del sistema (wall-clock time) en la máquina que está procesando el evento.
"En Flink, ¿qué mecanismo se utiliza para manejar eventos desordenados y determinar cuándo una ventana de tiempo está completa?",Watermarks (marcas de agua).
Un watermark con una marca de tiempo 'T' en un flujo de datos declara que no deberían llegar más eventos con una marca de tiempo _____ a 'T'.,anterior (más antigua que)
"En Flink, ¿qué estrategia de watermarking es adecuada para flujos donde los eventos pueden llegar con un retraso máximo conocido?",La estrategia de 'bounded out-of-orderness watermarks'.
"Al ajustar el retraso del watermark, un valor demasiado alto puede causar _____ en el procesamiento, mientras que uno demasiado bajo puede resultar en resultados incompletos.",mayor latencia
¿Cuál es la función del 'checkpointing' en motores de procesamiento de flujos como Apache Flink?,Guardar periódicamente el estado de una aplicación para garantizar la tolerancia a fallos y la recuperación.
"En Flink, el mecanismo de checkpointing se basa en un algoritmo de snapshotting distribuido llamado _____.",Asynchronous Barrier Snapshotting
¿Qué es un 'checkpoint barrier' en el mecanismo de checkpointing de Flink?,Es un registro especial que fluye a través del grafo de operadores para alinear los snapshots de estado en todos los operadores.
¿Cuál es la principal ventaja del checkpointing incremental sobre el checkpointing completo para estados grandes?,"Reduce la cantidad de datos escritos en cada checkpoint al guardar solo los cambios desde el último checkpoint, lo que acelera el proceso."
¿Qué backend de estado en Flink es más adecuado para manejar estados muy grandes que no caben en memoria?,El backend de estado EmbeddedRocksDBStateBackend.
