¿Cuál es la abstracción arquitectónica central de Apache Kafka?,Un registro de confirmaciones (commit log) replicado y tolerante a fallos.
"¿Qué protocolo está diseñado para implementar RabbitMQ, proporcionando un enrutamiento de mensajes flexible y sofisticado?",El Protocolo Avanzado de Puesta en Cola de Mensajes (AMQP).
¿Para qué tipo de entornos fue concebido principalmente NATS?,Entornos de computación nativos de la nube y de borde (edge computing) que demandan alta velocidad y simplicidad operativa.
"En la comparación entre Kafka, RabbitMQ y NATS, ¿cuál es descrito como una ""plataforma de streaming distribuida""?",Apache Kafka.
"RabbitMQ opera como un intermediario inteligente, mientras que Kafka sigue un paradigma de _____, donde el consumidor es el inteligente.",intermediario tonto (dumb broker)
"A diferencia de Kafka que siempre es una plataforma de streaming duradera, NATS puede actuar como un bus de mensajes de latencia ultrabaja para comunicación _____ y como una plataforma de streaming duradera.",transitoria
¿Cómo logra el entorno de ejecución de Erlang en RabbitMQ distribuir el trabajo entre todos los núcleos de CPU disponibles sin configuración manual?,"Siempre que el número de colas, conexiones y canales exceda el número de núcleos."
"Término: Arquitectura de ""nada compartido"" (Shared-nothing) en Erlang.","Definición: Un modelo de procesos ligeros aislados que mejora la tolerancia a fallos, conteniendo el fallo de una conexión individual."
"¿Qué tipo de recolección de basura utiliza Erlang para minimizar las pausas globales de ""detener el mundo"" (stop-the-world) en RabbitMQ?",Recolección de basura por proceso.
¿Cuál es la principal diferencia a nivel de protocolo entre AMQP 0-9-1 y AMQP 1.0?,"AMQP 0-9-1 es un protocolo a nivel de aplicación que prescribe el comportamiento del bróker, mientras que AMQP 1.0 es un protocolo a nivel de transporte con menos requisitos semánticos."
"¿Cuántos procesos de Erlang requería el plugin de AMQP 1.0 en RabbitMQ 3.13 por sesión, en comparación con la implementación nativa en la versión 4.0?","Aproximadamente 15 procesos en la versión 3.13, reducido a un solo proceso en la versión 4.0."
"¿Qué mecanismo de control de flujo utiliza AMQP 0-9-1, que opera a nivel de canal?",El mecanismo de prefetch `basic.qos`.
"En AMQP 1.0, el control de flujo se implementa a nivel de enlace (link-level) a través de un sistema basado en _____, donde el receptor concede permiso al emisor para enviar mensajes.",créditos
